"CFOP";"Descrição Resumida"
1.355;"Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica"
1.356;"Aquisição de serviço de transporte por estabelecimento de produtor rural"
1.360;"Aquisição de serviço de transporte por contribuinte-substituto em relação ao serviço de transporte"
1.401;"Compra p/ industrialização ou produção rural de mercadoria sujeita a ST"
1.403;"Compra p/ comercialização em operação com mercadoria sujeita a ST"
1.406;"Compra de bem p/ o ativo imobilizado cuja mercadoria está sujeita a ST"
1.407;"Compra de mercadoria p/ uso ou consumo cuja mercadoria está sujeita a ST"
1.408;"Transferência p/ industrialização ou produção rural de mercadoria sujeita a ST"
1.409;"Transferência p/ comercialização em operação com mercadoria sujeita a ST"
1.410;"Devolução de venda de mercadoria, de produção do estabelecimento, sujeita a ST"
1.411;"Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST"
1.414;"Retorno de mercadoria de produção do estabelecimento, remetida p/ venda fora do estabelecimento, sujeita a ST"
1.415;"Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em operação com mercadoria sujeita a ST"
1.451;"Retorno de animal do estabelecimento produtor"
1.452;"Retorno de insumo não utilizado na produção"
1.501;"Entrada de mercadoria recebida com fim específico de exportação"
1.503;"Entrada decorrente de devolução de produto, de fabricação do estabelecimento, remetido com fim específico de exportação"
1.504;"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros"
1.505;"Entrada decorrente de devolução simbólica de mercadoria remetida p/ formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento."
1.506;"Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida p/ formação de lote de exportação."
1.551;"Compra de bem p/ o ativo imobilizado"
1.552;"Transferência de bem do ativo imobilizado"
1.553;"Devolução de venda de bem do ativo imobilizado"
1.554;"Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento"
1.555;"Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento"
1.556;"Compra de material p/ uso ou consumo"
1.557;"Transferência de material p/ uso ou consumo"
1.601;"Recebimento, por transferência, de crédito de ICMS"
1.602;"Recebimento, por transferência, de saldo credor do ICMS, de outro estabelecimento da mesma empresa, p/ compensação de saldo devedor do imposto. "
1.603;"Ressarcimento de ICMS retido por substituição tributária"
1.604;"Lançamento do crédito relativo à compra de bem p/ o ativo imobilizado"
1.605;"Recebimento, por transferência, de saldo devedor do ICMS de outro estabelecimento da mesma empresa"
1.651;"Compra de combustível ou lubrificante p/ industrialização subseqüente"
1.652;"Compra de combustível ou lubrificante p/ comercialização"
1.653;"Compra de combustível ou lubrificante por consumidor ou usuário final"
1.658;"Transferência de combustível ou lubrificante p/ industrialização"
1.659;"Transferência de combustível ou lubrificante p/ comercialização"
1.660;"Devolução de venda de combustível ou lubrificante destinados à industrialização subseqüente"
1.661;"Devolução de venda de combustível ou lubrificante destinados à comercialização"
1.662;"Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final"
1.663;"Entrada de combustível ou lubrificante p/ armazenagem"
1.664;"Retorno de combustível ou lubrificante remetidos p/ armazenagem"
1.901;"Entrada p/ industrialização por encomenda"
1.902;"Retorno de mercadoria remetida p/ industrialização por encomenda"
1.903;"Entrada de mercadoria remetida p/ industrialização e não aplicada no referido processo"
1.904;"Retorno de remessa p/ venda fora do estabelecimento"
1.905;"Entrada de mercadoria recebida p/ depósito em depósito fechado ou armazém geral"
1.906;"Retorno de mercadoria remetida p/ depósito fechado ou armazém geral"
1.907;"Retorno simbólico de mercadoria remetida p/ depósito fechado ou armazém geral"
1.908;"Entrada de bem por conta de contrato de comodato"
1.909;"Retorno de bem remetido por conta de contrato de comodato"
1.910;"Entrada de bonificação, doação ou brinde"
1.911;"Entrada de amostra grátis"
1.912;"Entrada de mercadoria ou bem recebido p/ demonstração"
1.913;"Retorno de mercadoria ou bem remetido p/ demonstração"
1.914;"Retorno de mercadoria ou bem remetido p/ exposição ou feira"
1.915;"Entrada de mercadoria ou bem recebido p/ conserto ou reparo"
1.916;"Retorno de mercadoria ou bem remetido p/ conserto ou reparo"
1.917;"Entrada de mercadoria recebida em consignação mercantil ou industrial"
1.918;"Devolução de mercadoria remetida em consignação mercantil ou industrial"
1.919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial"
1.920;"Entrada de vasilhame ou sacaria"
1.921;"Retorno de vasilhame ou sacaria"
1.922;"Lançamento efetuado a título de simples faturamento decorrente de compra p/ recebimento futuro"
1.923;"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem"
1.924;"Entrada p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
1.925;"Retorno de mercadoria remetida p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
1.926;"Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação"
1.931;"Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na UF onde se tenha iniciado o serviço."
1.932;"Aquisição de serviço de transporte iniciado em UF diversa daquela onde esteja inscrito o prestador"
1.933;"Aquisição de serviço tributado pelo Imposto sobre Serviços de Qualquer Natureza"
1.934;"Entrada simbólica de mercadoria recebida p/ depósito fechado ou armazém geral"
1.949;"Outra entrada de mercadoria ou prestação de serviço não especificada"
2.101;"Compra p/ industrialização ou produção rural"
2.102;"Compra p/ comercialização"
2.111;"Compra p/ industrialização de mercadoria recebida anteriormente em consignação industrial"
2.113;"Compra p/ comercialização, de mercadoria recebida anteriormente em consignação mercantil"
2.116;"Compra p/ industrialização ou produção rural originada de encomenda p/ recebimento futuro"
2.117;"Compra p/ comercialização originada de encomenda p/ recebimento futuro"
2.118;"Compra de mercadoria p/ comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem"
2.120;"Compra p/ industrialização, em venda à ordem, já recebida do vendedor remetente"
2.121;"Compra p/ comercialização, em venda à ordem, já recebida do vendedor remetente"
2.122;"Compra p/ industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente"
2.124;"Industrialização efetuada por outra empresa"
2.125;"Industrialização efetuada por outra empresa quando a mercadoria remetida p/ utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria"
2.126;"Compra p/ utilização na prestação de serviço sujeita ao ICMS"
2.128;"Compra p/ utilização na prestação de serviço sujeita ao ISSQN"
2.151;"Transferência p/ industrialização ou produção rural"
2.152;"Transferência p/ comercialização"
2.153;"Transferência de energia elétrica p/ distribuição"
2.154;"Transferência p/ utilização na prestação de serviço"
2.201;"Devolução de venda de produção do estabelecimento"
2.202;"Devolução de venda de mercadoria adquirida ou recebida de terceiros"
2.203;"Devolução de venda de produção do estabelecimento destinada à ZFM ou ALC"
2.204;"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à ZFM ou ALC"
2.205;"Anulação de valor relativo à prestação de serviço de comunicação"
2.206;"Anulação de valor relativo à prestação de serviço de transporte"
2.207;"Anulação de valor relativo à venda de energia elétrica"
2.208;"Devolução de produção do estabelecimento, remetida em transferência."
2.209;"Devolução de mercadoria adquirida ou recebida de terceiros e remetida em transferência"
2.212;"Devolução de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
2.251;"Compra de energia elétrica p/ distribuição ou comercialização"
2.252;"Compra de energia elétrica por estabelecimento industrial"
2.253;"Compra de energia elétrica por estabelecimento comercial"
2.254;"Compra de energia elétrica por estabelecimento prestador de serviço de transporte"
2.255;"Compra de energia elétrica por estabelecimento prestador de serviço de comunicação"
2.256;"Compra de energia elétrica por estabelecimento de produtor rural"
2.257;"Compra de energia elétrica p/ consumo por demanda contratada"
2.301;"Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza"
2.302;"Aquisição de serviço de comunicação por estabelecimento industrial"
2.303;"Aquisição de serviço de comunicação por estabelecimento comercial"
2.304;"Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte"
2.305;"Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica"
2.306;"Aquisição de serviço de comunicação por estabelecimento de produtor rural"
2.351;"Aquisição de serviço de transporte p/ execução de serviço da mesma natureza"
2.352;"Aquisição de serviço de transporte por estabelecimento industrial"
2.353;"Aquisição de serviço de transporte por estabelecimento comercial"
2.354;"Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação"
2.355;"Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica"
2.356;"Aquisição de serviço de transporte por estabelecimento de produtor rural"
2.401;"Compra p/ industrialização ou produção rural de mercadoria sujeita a ST"
2.403;"Compra p/ comercialização em operação com mercadoria sujeita a ST"
2.406;"Compra de bem p/ o ativo imobilizado cuja mercadoria está sujeita a ST"
2.407;"Compra de mercadoria p/ uso ou consumo cuja mercadoria está sujeita a ST"
2.408;"Transferência p/ industrialização ou produção rural de mercadoria sujeita a ST"
2.409;"Transferência p/ comercialização em operação com mercadoria sujeita a ST"
2.410;"Devolução de venda de produção do estabelecimento, quando o produto sujeito a ST"
2.411;"Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST"
2.414;"Retorno de produção do estabelecimento, remetida p/ venda fora do estabelecimento, quando o produto sujeito a ST"
2.415;"Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em operação com mercadoria sujeita a ST"
2.501;"Entrada de mercadoria recebida com fim específico de exportação"
2.503;"Entrada decorrente de devolução de produto industrializado pelo estabelecimento, remetido com fim específico de exportação"
2.504;"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros"
2.505;"Entrada decorrente de devolução simbólica de mercadoria remetida p/ formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento."
2.506;"Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida p/ formação de lote de exportação."
2.551;"Compra de bem p/ o ativo imobilizado"
2.552;"Transferência de bem do ativo imobilizado"
2.553;"Devolução de venda de bem do ativo imobilizado"
2.554;"Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento"
2.555;"Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento"
2.556;"Compra de material p/ uso ou consumo"
2.557;"Transferência de material p/ uso ou consumo"
2.603;"Ressarcimento de ICMS retido por substituição tributária"
2.651;"Compra de combustível ou lubrificante p/ industrialização subseqüente"
2.652;"Compra de combustível ou lubrificante p/ comercialização"
2.652;"Compra de combustível ou lubrificante p/ comercialização"
2.653;"Compra de combustível ou lubrificante por consumidor ou usuário final"
2.658;"Transferência de combustível ou lubrificante p/ industrialização"
2.659;"Transferência de combustível ou lubrificante p/ comercialização "
2.660;"Devolução de venda de combustível ou lubrificante destinados à industrialização subseqüente"
2.661;"Devolução de venda de combustível ou lubrificante destinados à comercialização"
2.662;"Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final"
2.663;"Entrada de combustível ou lubrificante p/ armazenagem"
2.664;"Retorno de combustível ou lubrificante remetidos p/ armazenagem"
2.901;"Entrada p/ industrialização por encomenda"
2.902;"Retorno de mercadoria remetida p/ industrialização por encomenda"
2.903;"Entrada de mercadoria remetida p/ industrialização e não aplicada no referido processo"
2.904;"Retorno de remessa p/ venda fora do estabelecimento"
2.905;"Entrada de mercadoria recebida p/ depósito em depósito fechado ou armazém geral"
2.906;"Retorno de mercadoria remetida p/ depósito fechado ou armazém geral"
2.907;"Retorno simbólico de mercadoria remetida p/ depósito fechado ou armazém geral"
2.908;"Entrada de bem por conta de contrato de comodato"
2.909;"Retorno de bem remetido por conta de contrato de comodato"
2.910;"Entrada de bonificação, doação ou brinde"
2.911;"Entrada de amostra grátis"
2.912;"Entrada de mercadoria ou bem recebido p/ demonstração"
2.913;"Retorno de mercadoria ou bem remetido p/ demonstração"
2.914;"Retorno de mercadoria ou bem remetido p/ exposição ou feira"
2.915;"Entrada de mercadoria ou bem recebido p/ conserto ou reparo"
2.916;"Retorno de mercadoria ou bem remetido p/ conserto ou reparo"
2.917;"Entrada de mercadoria recebida em consignação mercantil ou industrial"
2.918;"Devolução de mercadoria remetida em consignação mercantil ou industrial"
2.919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial"
2.920;"Entrada de vasilhame ou sacaria"
2.921;"Retorno de vasilhame ou sacaria"
2.922;"Lançamento efetuado a título de simples faturamento decorrente de compra p/ recebimento futuro"
2.923;"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem"
2.924;"Entrada p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
2.925;"Retorno de mercadoria remetida p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
2.931;"Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na UF onde se tenha iniciado o serviço  "
2.932;"Aquisição de serviço de transporte iniciado em UF diversa daquela onde esteja inscrito o prestador "
2.933;"Aquisição de serviço tributado pelo Imposto Sobre Serviços de Qualquer Natureza"
2.934;"Entrada simbólica de mercadoria recebida p/ depósito fechado ou armazém geral"
2.949;"Outra entrada de mercadoria ou prestação de serviço não especificado"
3.101;"Compra p/ industrialização ou produção rural"
3.102;"Compra p/ comercialização"
3.126;"Compra p/ utilização na prestação de serviço sujeita ao ICMS"
3.127;"Compra p/ industrialização sob o regime de drawback "
3.128;"Compra p/ utilização na prestação de serviço sujeita ao ISSQN"
3.129;"Compra para industrialização sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
3.201;"Devolução de venda de produção do estabelecimento"
3.202;"Devolução de venda de mercadoria adquirida ou recebida de terceiros"
3.205;"Anulação de valor relativo à prestação de serviço de comunicação"
3.206;"Anulação de valor relativo à prestação de serviço de transporte"
3.207;"Anulação de valor relativo à venda de energia elétrica"
3.211;"Devolução de venda de produção do estabelecimento sob o regime de drawback "
3.212;"Devolução de venda no mercado externo de mercadoria industrializada sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
3.251;"Compra de energia elétrica p/ distribuição ou comercialização"
3.301;"Aquisição de serviço de comunicação p/ execução de serviço da mesma natureza"
3.351;"Aquisição de serviço de transporte p/ execução de serviço da mesma natureza"
3.352;"Aquisição de serviço de transporte por estabelecimento industrial"
3.353;"Aquisição de serviço de transporte por estabelecimento comercial"
3.354;"Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação"
3.355;"Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica"
3.356;"Aquisição de serviço de transporte por estabelecimento de produtor rural"
3.503;"Devolução de mercadoria exportada que tenha sido recebida com fim específico de exportação"
3.551;"Compra de bem p/ o ativo imobilizado"
3.553;"Devolução de venda de bem do ativo imobilizado"
3.556;"Compra de material p/ uso ou consumo"
3.651;"Compra de combustível ou lubrificante p/ industrialização subseqüente"
3.652;"Compra de combustível ou lubrificante p/ comercialização"
3.653;"Compra de combustível ou lubrificante por consumidor ou usuário final"
3.930;"Lançamento efetuado a título de entrada de bem sob amparo de regime especial aduaneiro de admissão temporária"
3.949;"Outra entrada de mercadoria ou prestação de serviço não especificado"
5.101;"Venda de produção do estabelecimento"
5.102;"Venda de mercadoria adquirida ou recebida de terceiros"
5.103;"Venda de produção do estabelecimento efetuada fora do estabelecimento"
5.104;"Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento"
5.105;"Venda de produção do estabelecimento que não deva por ele transitar"
5.106;"Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar "
5.109;"Venda de produção do estabelecimento destinada à ZFM ou ALC"
5.110;"Venda de mercadoria, adquirida ou recebida de terceiros, destinada à ZFM ou ALC"
5.111;"Venda de produção do estabelecimento remetida anteriormente em consignação industrial"
5.112;"Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação industrial"
5.113;"Venda de produção do estabelecimento remetida anteriormente em consignação mercantil"
5.114;"Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil"
5.115;"Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil"
5.116;"Venda de produção do estabelecimento originada de encomenda p/ entrega futura"
5.117;"Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda p/ entrega futura"
5.118;"Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
5.119;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
5.120;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem"
5.122;"Venda de produção do estabelecimento remetida p/ industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
5.123;"Venda de mercadoria adquirida ou recebida de terceiros remetida p/ industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
5.124;"Industrialização efetuada p/ outra empresa"
5.125;"Industrialização efetuada p/ outra empresa quando a mercadoria recebida p/ utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria"
5.129;"Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
5.151;
5.152;"Transferência de mercadoria adquirida ou recebida de terceiros"
5.153;"Transferência de energia elétrica"
5.155;"Transferência de produção do estabelecimento, que não deva por ele transitar"
5.156;"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
5.201;"Devolução de compra p/ industrialização ou produção rural"
5.202;"Devolução de compra p/ comercialização"
5.205;"Anulação de valor relativo a aquisição de serviço de comunicação"
5.206;"Anulação de valor relativo a aquisição de serviço de transporte"
5.207;"Anulação de valor relativo à compra de energia elétrica"
5.208;"Devolução de mercadoria recebida em transferência p/ industrialização ou produção rural "
5.209;"Devolução de mercadoria recebida em transferência p/ comercialização"
5.210;"Devolução de compra p/ utilização na prestação de serviço"
5.251;"Venda de energia elétrica p/ distribuição ou comercialização"
5.252;"Venda de energia elétrica p/ estabelecimento industrial"
5.253;"Venda de energia elétrica p/ estabelecimento comercial"
5.254;"Venda de energia elétrica p/ estabelecimento prestador de serviço de transporte"
5.255;"Venda de energia elétrica p/ estabelecimento prestador de serviço de comunicação"
5.256;"Venda de energia elétrica p/ estabelecimento de produtor rural"
5.257;"Venda de energia elétrica p/ consumo por demanda contratada"
5.258;"Venda de energia elétrica a não contribuinte"
5.301;"Prestação de serviço de comunicação p/ execução de serviço da mesma natureza"
5.302;"Prestação de serviço de comunicação a estabelecimento industrial"
5.303;"Prestação de serviço de comunicação a estabelecimento comercial"
5.304;"Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte"
5.305;"Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica"
5.306;"Prestação de serviço de comunicação a estabelecimento de produtor rural"
5.307;"Prestação de serviço de comunicação a não contribuinte"
5.351;"Prestação de serviço de transporte p/ execução de serviço da mesma natureza"
5.352;"Prestação de serviço de transporte a estabelecimento industrial"
5.353;"Prestação de serviço de transporte a estabelecimento comercial"
5.354;"Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação"
5.355;"Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica"
5.356;"Prestação de serviço de transporte a estabelecimento de produtor rural"
5.357;"Prestação de serviço de transporte a não contribuinte"
5.359;"Prestação de serviço de transporte a contribuinte ou a não-contribuinte, quando a mercadoria transportada esteja dispensada de emissão de Nota Fiscal  "
5.360;"Prestação de serviço de transporte a contribuinte-substituto em relação ao serviço de transporte"
5.401;"Venda de produção do estabelecimento quando o produto esteja sujeito a ST"
5.402;"Venda de produção do estabelecimento de produto sujeito a ST, em operação entre contribuintes substitutos do mesmo produto"
5.403;"Venda de mercadoria, adquirida ou recebida de terceiros, sujeita a ST, na condição de contribuinte-substituto"
5.405;"Venda de mercadoria, adquirida ou recebida de terceiros, sujeita a ST, na condição de contribuinte-substituído"
5.408;"Transferência de produção do estabelecimento quando o produto sujeito a ST"
5.409;"Transferência de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST"
5.410;"Devolução de compra p/ industrialização de mercadoria sujeita a ST"
5.411;"Devolução de compra p/ comercialização em operação com mercadoria sujeita a ST"
5.412;"Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita a ST"
5.413;"Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita a ST."
5.414;"Remessa de produção do estabelecimento p/ venda fora do estabelecimento, quando o produto sujeito a ST"
5.415;"Remessa de mercadoria adquirida ou recebida de terceiros p/ venda fora do estabelecimento, em operação com mercadoria sujeita a ST"
5.451;"Remessa de animal e de insumo p/ estabelecimento produtor"
5.501;"Remessa de produção do estabelecimento, com fim específico de exportação"
5.502;"Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação"
5.503;"Devolução de mercadoria recebida com fim específico de exportação"
5.504;"Remessa de mercadoria p/ formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento."
5.505;"Remessa de mercadoria, adquirida ou recebida de terceiros, p/ formação de lote de exportação."
5.551;"Venda de bem do ativo imobilizado"
5.552;"Transferência de bem do ativo imobilizado"
5.553;"Devolução de compra de bem p/ o ativo imobilizado"
5.554;"Remessa de bem do ativo imobilizado p/ uso fora do estabelecimento"
5.555;"Devolução de bem do ativo imobilizado de terceiro, recebido p/ uso no estabelecimento"
5.556;"Devolução de compra de material de uso ou consumo"
5.557;"Transferência de material de uso ou consumo"
5.601;"Transferência de crédito de ICMS acumulado"
5.602;"Transferência de saldo credor do ICMS, p/ outro estabelecimento da mesma empresa, destinado à compensação de saldo devedor do ICMS"
5.603;"Ressarcimento de ICMS retido por substituição tributária"
5.605;"Transferência de saldo devedor do ICMS de outro estabelecimento da mesma empresa  "
5.606;"Utilização de saldo credor do ICMS p/ extinção por compensação de débitos fiscais"
5.651;"Venda de combustível ou lubrificante de produção do estabelecimento destinados à industrialização subseqüente"
5.652;"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados à comercialização"
5.653;"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados a consumidor ou usuário final"
5.654;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à industrialização subseqüente"
5.655;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à comercialização"
5.656;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados a consumidor ou usuário final"
5.657;"Remessa de combustível ou lubrificante, adquiridos ou recebidos de terceiros, p/ venda fora do estabelecimento"
5.658;"Transferência de combustível ou lubrificante de produção do estabelecimento"
5.659;"Transferência de combustível ou lubrificante adquiridos ou recebidos de terceiros"
5.660;"Devolução de compra de combustível ou lubrificante adquiridos p/ industrialização subseqüente"
5.661;"Devolução de compra de combustível ou lubrificante adquiridos p/ comercialização"
5.662;"Devolução de compra de combustível ou lubrificante adquiridos por consumidor ou usuário final"
5.663;"Remessa p/ armazenagem de combustível ou lubrificante"
5.664;"Retorno de combustível ou lubrificante recebidos p/ armazenagem"
5.665;"Retorno simbólico de combustível ou lubrificante recebidos p/ armazenagem"
5.666;"Remessa, por conta e ordem de terceiros, de combustível ou lubrificante recebidos p/ armazenagem"
5.667;"Venda de combustível ou lubrificante a consumidor ou usuário final estabelecido em outra UF"
5.901;"Remessa p/ industrialização por encomenda"
5.902;"Retorno de mercadoria utilizada na industrialização por encomenda"
5.903;"Retorno de mercadoria recebida p/ industrialização e não aplicada no referido processo"
5.904;"Remessa p/ venda fora do estabelecimento"
5.905;"Remessa p/ depósito fechado ou armazém geral"
5.906;"Retorno de mercadoria depositada em depósito fechado ou armazém geral"
5.907;"Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral"
5.908;"Remessa de bem por conta de contrato de comodato"
5.909;"Retorno de bem recebido por conta de contrato de comodato"
5.910;"Remessa em bonificação, doação ou brinde"
5.911;"Remessa de amostra grátis"
5.912;"Remessa de mercadoria ou bem p/ demonstração"
5.913;"Retorno de mercadoria ou bem recebido p/ demonstração"
5.914;"Remessa de mercadoria ou bem p/ exposição ou feira"
