Nº DCB ;DENOMINAÇÃO COMUM BRASILEIRA;Nº CAS
00054;acetato de alumínio;139-12-8
00055;acetato de amônio;631-61-8
00754;acetato de anaritida;104595-79-1
09392;acetato de anecortave;7753-60-8
09558;acetato de atosibana;914453-95-5
11082;acetato de bazedoxifeno;198481-33-3
10611;acetato de benzila;140-11-4
01214;acetato de betametasona;987-24-6
01303;acetato de bisoxatina;14008-48-1
11083;acetato de boldenona;2363-59-9
01567;acetato de busserrelina;68630-75-1
10612;acetato de butila;123-86-4
09629;acetato de cálcio;62-54-4
00056;acetato de caspofungina;179463-17-3
10010;acetato de ceftarolina fosamila;400827-46-5
10011;acetato de ceftarolina monoidratado;400827-55-6
00057;acetato de cetrorrelix;145672-81-7
09340;acetato de chumbo;301-04-2
02146;acetato de ciproterona;427-51-0
02259;acetato de clocortolona;4258-85-9
02465;acetato de clormadinona;302-22-7
02522;acetato de clostebol;855-19-6
11084;acetato de cloxotestosterona;13867-82-8
02546;acetato de codeína;5913-71-3
02606;acetato de cormetasona;35135-67-2
02611;acetato de cortisona;50-04-4
09763;acetato de degarrelix;934246-14-7
02741;acetato de delmadinona;13698-49-2
02792;acetato de desmopressina;62288-83-9
02799;acetato de desoxicortona;56-47-3
02819;acetato de dexametasona;1177-87-3
11128;acetato de dexametasona monoidratado;55812-90-3
08717;acetato de dextroalfatocoferol;58-95-7
03299;acetato de edifolona;90733-42-9
00058;acetato de eliptínio;58337-35-2
03478;acetato de ergocalciferol;2579-08-0
11211;acetato de eslicarbazepina;236395-14-5
03584;acetato de estembolona;1242-56-4
03596;acetato de estradiol;4245-41-4
09342;acetato de etila;141-78-6
03759;acetato de etriptamina;118-68-3
10613;acetato de feniletila;103-45-7
04031;acetato de fertirrelina;106756-71-2
04069;acetato de flecainida;54143-56-5
04097;acetato de fluazacorte;19888-56-3
04119;acetato de fludrocortisona;514-36-3
04131;acetato de flugestona;2529-45-5
04153;acetato de flunisolida;4533-89-5
04173;acetato de fluormetolona;3801-06-7
04193;acetato de fluprednideno;1255-35-2
04196;acetato de fluprednisolona;34253-70-8
10012;acetato de fosamila;866021-48-9
04401;acetato de ganirrelix;129311-55-3
04446;acetato de glatirâmer;147245-92-9
04525;acetato de gonadorrelina;52699-48-6
04531;acetato de gosserrelina;145781-92-6
04552;acetato de guanabenzo;23256-50-0
04593;acetato de halopredona;57781-14-3
04666;acetato de hidrocortisona;50-03-3
04709;acetato de hidroxiprogesterona;302-23-8
04720;acetato de hidroxocobalamina;22465-48-1
09691;acetato de icatibanto;138614-30-9
04903;acetato de inocoterona;83646-86-0
05164;acetato de lanreotida;127984-74-1
00059;acetato de laurolínio;146-37-2
05220;acetato de leuprorrelina;74381-53-6
11085;acetato de levacetilmetadol;1477-40-3
09343;acetato de lisina;57282-49-2
05470;acetato de lutrelina;83784-18-3
05480;acetato de mafenida;13009-99-9
00060;acetato de magnésio;142-72-3
09344;acetato de magnésio tetraidratado;3581-93-9
05563;acetato de medroxiprogesterona;71-58-9
05582;acetato de megestrol;595-33-5
05610;acetato de melengestrol;2919-66-6
05662;acetato de meprednisona;[Ref. 4]
09722;acetato de merisoprol (197 Hg);24359-51-1
09723;acetato de merisoprol (203 Hg);24359-50-0
11086;acetato de mesterolona;[Ref. 3]
05760;acetato de metcefamida;66960-35-8
05771;acetato de metenolona;434-05-9
05814;acetato de metilprednisolona;53-36-1
05941;acetato de midecamicina;55881-07-7
06091;acetato de morfina;596-15-6
06174;acetato de nafarrelina;86220-42-0
06460;acetato de nomegestrol;58652-20-3
06477;acetato de norcodeína;7679-20-1
06492;acetato de noretisterona;51-98-9
06571;acetato de octreotida;79517-01-4
06740;acetato de oxifenisatina;115-33-3
06832;acetato de parametasona;1597-82-6
11087;acetato de paroxetina;72471-80-8
11088;acetato de pecazina;24360-97-2
07147;acetato de pirbuterol;65652-44-0
00061;acetato de potássio;127-08-2
11089;acetato de prasterona;853-23-6
07334;acetato de prednisolona;52-21-1
07342;acetato de prednisona;125-10-0
07570;acetato de quingestanol;3000-39-3
09341;acetato de racealfatocoferol;52225-20-4
07694;acetato de retinol;127-47-9
07827;acetato de roxatidina;78628-28-1
07898;acetato de saralasina;54194-01-3
07927;acetato de seglitida;99248-33-6
07947;acetato de seractida;39294-79-6
07958;acetato de sermorrelina;114466-38-5
00087;acetato de sódio;127-09-3
09770;acetato de sódio (11 C);155975-87-4
00088;acetato de sódio tri-hidratado ;6131-90-4
08045;acetato de somatostatina;55369-74-9
08428;acetato de teriparatida;99294-94-7
08432;acetato de terlipressina;[Ref. 4]
10022;acetato de tesamorrelina;901758-09-6
11090;acetato de testosterona;1045-69-8
08468;acetato de tetracosactida;60189-34-6
08598;acetato de timobesona;79578-14-6
08835;acetato de trembolona;10161-34-9
08846;acetato de trestolona;6157-87-5
08950;acetato de triptorrelina;140194-24-7
09944;acetato de ulipristal;126784-99-4
09345;acetato de zinco;557-34-6
09314;acetato de zuclopentixol;85721-05-7
00063;acetazolamida;59-66-5
00064;acetazolamida sódica;1424-27-7
00065;acetergamina;3031-48-9
00066;acetiamina;299-89-8
00067;acetilcisteína;616-91-1
00068;acetildigitoxina;1111-39-3
00069;acetildigoxina;5511-98-8
00070;acetildi-hidrocodeína;3861-72-1
00071;acetileucina;99-15-0
09394;acetilevotriptofanato de sódio;62208-95-1
00074;acetil-levometionina;65-82-7
00072;acetilmetadol;509-74-0
11029;acetilracemetionina ;1115-47-5
09393;acetilracetriptofanato de sódio;62307-74-8
09559;acetilracetriptofano;87-32-1
00090;acetilsalicilato de alumínio;23413-80-1
00091;acetilsalicilato de cálcio;69-46-5
05348;acetilsalicilato de lisina;62952-06-1
09346;acetiltirosina;537-55-3
00075;acetoexamida;968-81-0
00076;acetofenazina;2751-68-0
00078;acetona;67-64-1
00080;acetorfina;25333-77-1
05586;acetrizoato de meglumina;22154-43-4
00081;acetrizoato de sódio;129-63-5
00094;acexamato de cálcio;[Ref. 4]
00095;acexamato de sódio;7234-48-2
09348;acexamato de zinco;70020-71-2
10088;Achillea millefolium ;[Ref. 8]
10828;Achillea millefolium L. ;[Ref. 6]
10840;Achyrocline satureioides (Lam.) DC. ;[Ref. 6]
01215;acibutato de betametasona;5534-05-4
00082;aciclovir;59277-89-3
00083;aciclovir sódico;69657-51-8
00084;ácido acebúrico;26976-72-7
00085;ácido aceneurâmico;131-48-6
00086;ácido acético;64-19-7
11060;ácido acetilantranílico;89-52-1
00089;ácido acetilsalicílico;50-78-2
09876;ácido acetilsalicilsalicílico;530-75-6
00092;ácido acetoidroxâmico;546-88-3
00093;ácido acexâmico;57-08-9
00096;ácido alendrônico;66376-36-1
00100;ácido aminocaproico;60-32-2
09571;ácido aminolevulínico;106-60-5
00101;ácido anfonélico;15180-02-6
11061;ácido antranílico;118-92-3
00103;ácido araquidônico;506-32-1
00102;ácido arsanílico;98-50-0
00104;ácido ascórbico;50-81-7
00108;ácido aspártico;56-84-8
00113;ácido azelaico;123-99-9
00114;ácido bensuldázico;1219-77-8
11304;ácido benzenossulfônico;98-11-3
00115;ácido benzoico;65-85-0
00116;ácido bórico;10043-35-3
00118;ácido bromébrico;5711-40-0
00119;ácido broxitalâmico;86216-41-3
00120;ácido buclóxico;32808-51-8
00121;ácido butedrônico;51395-42-7
10013;ácido butedrônico (99m Tc);[Ref. 8]
00122;ácido caínico;487-79-6
00123;ácido caloxético;135306-78-4
00124;ácido canrenoico;4138-96-9
00126;ácido capobênico;21434-91-3
11239;ácido cáprico;334-48-5
00304;ácido caprílico;124-07-2
11249;ácido caproico;142-62-1
00127;ácido carglúmico;1188-38-1
00128;ácido ciclâmico;100-88-9
00129;ácido ciclobutoico;17692-20-5
00130;ácido cicloxílico;57808-63-6
00131;ácido cicrotoico;25229-42-9
00132;ácido cinamético;35703-32-3
00133;ácido cinepázico;54063-23-9
00134;ácido cítrico;77-92-9
09852;ácido cítrico monoidratado;5949-29-1
00135;ácido clamidóxico;6170-69-0
00136;ácido clavulânico;58001-44-8
00138;ácido clodrônico;10596-23-3
00140;ácido clofenâmico;4295-55-0
00141;ácido clofíbrico;882-09-7
00147;ácido clorazépico;23887-31-2
00150;ácido clorídrico;7647-01-0
00151;ácido clorindânico;153-43-5
00152;ácido cólico;81-25-4
00154;ácido cromoglícico;16110-51-3
00157;ácido desidrocólico;81-23-2
00160;ácido desoxicólico;83-44-3
00163;ácido diatrizoico;117-96-4
00165;ácido dimecrótico;7706-67-4
10014;ácido dioipúrico (125 I);[Ref. 8]
10015;ácido dioipúrico (131 I);[Ref. 8]
00166;ácido diprogúlico;18467-77-1
09349;ácido docosanoico;112-85-6
00167;ácido edético;60-00-4
00176;ácido egtázico;67-42-5
09350;ácido eicosanoico;506-30-9
00178;ácido elágico;476-66-4
00179;ácido enfenâmico;23049-93-6
00180;ácido espaglúmico;4910-46-7
00181;ácido esparfósico;51321-79-0
00182;ácido esteárico;57-11-4
00183;ácido etacrínico;58-54-8
00184;ácido etidrônico;2809-21-4
00185;ácido fenáftico;27736-80-7
00186;ácido fenclózico;17969-20-9
11062;ácido fenilacético;103-82-2
00187;ácido fepentólico;17243-33-3
00188;ácido fítico;83-86-3
00191;ácido flavódico;37470-13-6
00192;ácido flufenâmico;530-78-9
00194;ácido fólico;59-30-3
00196;ácido folínico;58-05-9
00198;ácido foscólico;2398-95-0
00199;ácido fosfórico;7664-38-2
00215;ácido fosmênico;13237-70-2
00216;ácido furacrínico;23580-33-8
00217;ácido fusídico;6990-06-3
00219;ácido gadobênico;113662-23-0
00220;ácido gadocolético;280776-87-6
00221;ácido gadopentético;80529-93-7
00223;ácido gadotérico;72573-82-1
00224;ácido gadoxético;135326-11-3
09565;ácido gamaidroxibutírico;591-81-1
00099;ácido gamaminobutírico;56-12-2
00225;ácido gamolênico;506-26-3
00226;ácido gentísico;490-79-9
00228;ácido glicerofosfórico;57-03-4
09395;ácido glicocólico;475-31-0
09572;ácido glicólico;79-14-1
00229;ácido glicurônico;6556-12-3
10628;ácido glucárico;25525-21-7
00230;ácido glutâmico;56-86-0
00232;ácido hialurônico;9004-61-9
00234;ácido hidroxitoluico;83-40-9
00235;ácido hopantênico;18679-90-8
00236;ácido ibandrônico;114084-78-5
00237;ácido iobenzâmico;3115-05-7
00238;ácido iobutoico;13445-12-0
00239;ácido iocanlídico (123 I);74855-17-7
00240;ácido iocármico;10397-75-8
00241;ácido iocetâmico;16034-77-8
00242;ácido iodocetílico (123 I);54510-20-2
09724;ácido iodofíltico (123 I);123748-56-1
00243;ácido iodoxâmico;31127-82-9
00244;ácido iofenoico;96-84-4
00245;ácido ioglicâmico;2618-25-9
00246;ácido ioglícico;49755-67-1
00247;ácido ioímbico;522-87-2
00248;ácido iolidônico;21766-53-0
00249;ácido iolixânico;22730-86-5
00250;ácido iomeglâmico;25827-76-3
00251;ácido iomorínico;51934-76-0
00252;ácido iopanoico;96-83-3
00253;ácido ioprocêmico;1456-52-6
00254;ácido ioprônico;37723-78-7
00255;ácido iosefâmico;5591-33-3
00256;ácido iosérico;51876-99-4
00257;ácido iosumético;37863-70-0
00258;ácido iotalâmico;2276-90-6
00261;ácido iotétrico;60019-19-4
00262;ácido iotrânico;26887-04-7
00263;ácido iotrizoico;16024-67-2
00264;ácido iotróxico;51022-74-3
00265;ácido ioxabrólico;96191-65-0
00266;ácido ioxáglico;59017-64-0
00268;ácido ioxitalâmico;28179-44-4
00270;ácido ioxotrizoico;19863-06-0
00271;ácido iozômico;31598-07-9
00272;ácido isonicotínico;55-22-1
00273;ácido isospaglúmico;3106-85-2
00274;ácido láctico;50-21-5
11288;ácido láurico;143-07-7
00279;ácido lidadrônico;63132-38-7
00280;ácido linoleico;60-33-3
00281;ácido linolênico;463-40-1
11063;ácido lisérgico;82-58-6
11250;ácido maleico;110-16-7
09396;ácido málico;6915-15-7
00282;ácido mandélico;90-64-2
00283;ácido meclofenâmico;644-62-2
00285;ácido medrônico;1984-15-2
00286;ácido mefenâmico;61-68-7
00287;ácido metiazínico;13993-65-2
00289;ácido micofenólico;24280-93-1
00292;ácido minodrônico;127657-42-5
09351;ácido mirístico;544-63-8
00293;ácido nafcaproico;1085-91-2
00294;ácido nalidíxico;389-08-2
00295;ácido neridrônico;79778-41-9
00296;ácido nicotínico;59-67-6
00302;ácido niflúmico;4394-00-7
00303;ácido nixílico;4394-05-2
09352;ácido octadecatetranoico;20290-75-9
00305;ácido oleico;112-80-1
10016;ácido oleico (125 I);[Ref. 8]
10017;ácido oleico (131 I);[Ref. 8]
00306;ácido olpadrônico;63132-39-8
00307;ácido orótico;65-86-1
00310;ácido oxidrônico;15468-10-7
00311;ácido oxiniácico;2398-81-4
00312;ácido oxolínico;14698-29-4
11289;ácido palmítico;57-10-3
09353;ácido palmitoleico;373-49-9
00313;ácido palmoxírico;68170-97-8
00314;ácido pamidrônico;40391-99-9
00316;ácido pantotênico;79-83-4
00098;ácido paraminobenzoico;150-13-0
00319;ácido paraminossalicílico;65-49-6
09354;ácido pentadecanoico;1002-84-2
00320;ácido pentético;67-43-6
00322;ácido persílico;4444-23-9
00323;ácido pidólico;98-79-3
00327;ácido pipemídico;51940-44-4
00328;ácido piridrônico;75755-07-6
00329;ácido piriníxico;50892-23-4
00330;ácido piromídico;19562-30-2
00331;ácido poliglicólico;26009-03-0
00332;ácido prodólico;36505-82-5
00333;ácido propiônico;79-09-4
00336;ácido protizínico;13799-03-6
00337;ácido quenodesoxicólico;474-25-9
00338;ácido risedrônico;105462-24-6
00340;ácido salicílico;69-72-7
00346;ácido sórbico;110-44-1
11017;ácido succínico;110-15-6
00347;ácido sulfalóxico;14376-16-0
11064;ácido sulfúrico;7664-93-9
00348;ácido sultosílico;57775-26-5
00350;ácido tartárico;87-69-4
00356;ácido taurosselcólico;75018-71-2
00357;ácido tiaprofênico;33005-95-7
00358;ácido tíbrico;37087-94-8
00359;ácido tienílico;40180-04-9
00360;ácido tiludrônico;89987-06-4
00361;ácido tióctico;62-46-4
00362;ácido tiroprópico;51-26-3
00363;ácido tizoprólico;30709-69-4
00364;ácido tolfenâmico;13710-19-5
00365;ácido tranexâmico;1197-18-8
00366;ácido tricloroacético;76-03-9
11284;ácido trifluoracético;76-05-1
00367;ácido undecilênico;112-38-9
00369;ácido ursodesoxicólico;128-13-2
00370;ácido ursulcólico;88426-32-8
00371;ácido valeriânico;109-52-4
00372;ácido valproico;99-66-1
00376;ácido xanóxico;33459-27-7
00377;ácido xenazoico;1174-11-4
00378;ácido xeniexênico;964-82-9
00379;ácido zoledrônico;118072-93-8
10708;ácido zoledrônico monoidratado;165800-06-6
10089;Acidum aceticum ;[Ref. 8]
10090;Acidum benzoicum ;[Ref. 8]
10091;Acidum boralicum;[Ref. 8]
10092;Acidum carbolicum      ;[Ref. 8]
10093;Acidum chromicum;[Ref. 8]
10094;Acidum citricum;[Ref. 8]
10095;Acidum desoxyribonucleicum;[Ref. 8]
10096;Acidum fluoricum;[Ref. 8]
10098;Acidum formicum ;[Ref. 8]
10097;Acidum gallicum;[Ref. 8]
10099;Acidum hidrocyanicum ;[Ref. 8]
10100;Acidum lacticum ;[Ref. 8]
10101;Acidum muriaticum ;[Ref. 8]
10102;Acidum nitricum ;[Ref. 8]
10103;Acidum oxalicum ;[Ref. 8]
10104;Acidum phosphoricum ;[Ref. 8]
10105;Acidum picricum   ;[Ref. 8]
10106;Acidum ribonucleicum;[Ref. 8]
10107;Acidum salicylicum ;[Ref. 8]
10108;Acidum sarcolacticum ;[Ref. 8]
10109;Acidum sulphuricum     ;[Ref. 8]
10110;Acidum uricum ;[Ref. 8]
00380;acifrana;72420-38-3
00381;acipimox;51037-30-0
03491;acistrato de eritromicina;96128-89-1
00382;acitazanolaste;114607-46-4
00383;acitretina;55079-83-9
00384;acivicina;42228-92-2
00385;aclarrubicina;57576-44-0
00387;aclomida;3011-89-0
00388;acodazol;79152-85-5
00389;aconiazida;13410-86-1
10111;Aconitum napellus;[Ref. 8]
09891;Aconitum napellus L. ;[Ref. 6]
00390;acoxatrina;748-44-7
00391;acreozaste;123548-56-1
00392;acridorex;47487-22-9
00393;acrielina;67696-82-6
00394;acriflavina;8048-52-0
00396;acrisorcina;7527-91-5
00397;acrivastina;87848-99-5
00398;acrocinonida;28971-58-6
00399;acronina;7008-42-6
10707;Actaea racemosa L.;[Ref. 6]
10112;Actaea spicata ;[Ref. 8]
00400;actagardina;59165-34-3
00401;actaplanina;37305-75-2
00402;actarite;18699-02-0
00403;actinomicina;1402-38-6
00404;actinoquinol;15301-40-3
00405;actisomida;96914-39-5
00406;actodigina;36983-69-4
00407;adafenoxato;82168-26-1
00408;adalimumabe;331731-18-1
00409;adamexina;54785-02-3
00410;adapaleno;106685-40-9
00411;adaprolol;101479-70-3
00413;adatanserina;127266-56-2
00414;adecalanto;227940-00-3
00415;adefovir;106941-25-7
00416;adefovir dipivoxila;142340-99-6
00417;ademetionina;17176-17-9
00418;adenina;73-24-5
00419;adenosina;58-61-7
00421;adibendana;100510-33-6
00422;adicilina;525-94-0
00423;adifenina;64-95-9
00425;adimolol;78459-19-5
00426;adinazolam;37115-32-5
10844;adipato de dibutila;105-99-7
07100;adipato de piperazina;142-88-1
10018;adipato dissódico;7486-38-6
00428;adipiodona;606-17-7
00429;adipiodona bismeglumina;3521-84-4
00430;aditereno;56066-19-4
00431;aditoprima;56066-63-8
10923;adomiparina sódica;[Ref. 1]
10113;Adonis vernalis;[Ref. 8]
00432;adosopina;88124-26-9
00433;adozelesina;110314-48-2
00434;adrafinila;63547-13-7
10114;Adrenalinum ;[Ref. 8]
00435;adrenalona;99-45-6
00436;adrogolida;171752-56-0
10115;Aesculus glabra ;[Ref. 8]
10116;Aesculus hippocastanum ;[Ref. 8]
09892;Aesculus hippocastanum L. ;[Ref. 6]
10117;Aethusa cynapium;[Ref. 8]
00437;afalanina;2901-75-9
10678;afatinibe;850140-72-6
00438;afeletecana;215604-75-4
00439;afelimomabe;156227-98-4
10019;aflibercepte;862111-32-8
00440;afloqualona;56287-74-2
00441;afovirseno;151356-08-0
00442;afurolol;65776-67-2
00443;aganodina;86696-87-9
09547;ágar-ágar;9002-18-0
10118;Agaricus muscarius;[Ref. 8]
00444;aglepristona;124478-60-0
10119;Agnus castus ;[Ref. 8]
09561;agomelatina;138112-76-2
10120;Agraphis nutans ;[Ref. 8]
10020;agregado de  albumina humana sérica iodada (131 I);[Ref. 8]
10021;agregado de albumina humana sérica (99m Tc);[Ref. 8]
00445;água;7732-18-5 
00446;água (15 O);24286-21-3 
09317;água de osmose reversa;[Ref. 7]
09318;água deionizada;[Ref. 7]
09319;água destilada;[Ref. 7]
09320;água para injetáveis;7732-18-5 
09879;água purificada;7732-18-5 
09880;água ultrapurificada;7732-18-5 
10121;Ailanthus glandulosus ;[Ref. 8]
00448;ajmalina;4360-12-7
00449;alacepril;74258-86-9
00450;alafosfalina;60668-24-8
09501;alanilglutamina;39537-23-0
00451;alanina;56-41-7
00452;alanosina;5854-93-3
00453;alantoína;97-59-6
00454;alaproclato;60719-82-6
00455;alatrofloxacino;157182-32-6
00457;alazanina triclofenato;5779-59-9
00458;albendazol;54965-21-8
10924;albiglutida;782500-75-8
00460;albumina humana;70024-90-7
10023;albumina humana sérica (99m Tc);[Ref. 8]
10024;albumina humana sérica coloidal (99m Tc);[Ref. 8]
10025;albumina humana sérica cromada (51 Cr);[Ref. 8]
00461;albumina humana sérica iodada (125 I);172398-69-5
00462;albumina humana sérica iodada (131 I);308060-75-5
00463;albumina ovandrotona;[Ref. 1]
00464;albutoína;830-89-7
09968;alcaftadina;147084-10-4
00465;alcatrão mineral;[Ref. 2]
00466;alclofenaco;22131-79-9
00467;alclometasona;67452-97-5
00469;alcloxa;1317-25-5
00470;álcool alfaetilbenzílico;93-54-9
00471;álcool benzílico;100-51-6
00472;álcool cetílico;36653-82-4
00473;álcool cetoestearílico;67762-27-0
10920;álcool diclorobenzílico;1777-82-8
00474;álcool estearílico;112-92-5
00475;álcool etílico;64-17-5
09931;álcool feniletílico;60-12-8
00476;álcool isopropílico;67-63-0
11018;álcool metílico ;67-56-1
00477;álcool nicotinílico;100-55-0
00480;álcool oleílico;143-28-2
00481;álcool polivinílico;9002-89-5
11251;álcool terc-butílico;75-65-0
00482;aldesleucina;110942-02-4
00483;aldessulfona sódica;144-75-2
00484;aldioxa;5579-81-7
00485;aldosterona;52-39-1
00486;alefacepte;222535-22-0
00488;alencinal;150785-53-8
00097;alendronato de sódio tri-hidratado;121268-17-5
00489;alentemol;112891-97-1
00487;alentuzumabe;216503-57-0
00491;aleprida;66564-15-6
00492;aletorfina;23758-80-7
10122;Aletris farinosa ;[Ref. 8]
00493;alexidina;22573-93-9
00494;alexitol sódico;66813-51-2
09591;alfa1antitripsina;9041-92-3
00496;alfa-acetilmetadol;17199-58-5
09630;alfa-agalsidase;104138-64-9
09817;alfa-albinterferona 2b;472960-22-8
09611;alfa-alglicosidase;420784-05-0
09355;alfa-amilase;9000-90-2
00521;alfa-amilase bacteriana;9000-85-5
10026;alfa-antitrombina;84720-88-7
00495;alfacalcidol;41294-56-8
00502;alfaciclodextrina;10016-20-3
09939;alfaconestate;80295-38-1
00499;alfacorifolitropina;195962-23-3
00500;alfacoriogonadotropina;177073-44-8
00501;alfadarbepoetina;209810-58-2
10679;alfadi-hidroergocriptina;25447-66-9
00503;alfadolona;14107-37-0
00505;alfadornase;143831-71-4
00506;alfadrotrecogina;98530-76-8
00507;alfaedodecina;187348-17-0
11081;alfaefmoroctocogue;1270012-79-7
11080;alfaeftrenonacogue;1270012-74-2
09422;alfaelosulfase;9025-60-9
00508;alfaepoetina;113427-24-0
00509;alfaeptacogue ativado;102786-61-8
11252;alfaergocriptina;511-09-1
09397;alfaescina;[Ref. 3]
09398;alfaescina sódica;[Ref. 3]
00510;alfaestradiol;57-91-0
00511;alfafenilbutiramida;90-26-6
00512;alfafolitropina;56832-30-5
00514;alfainterferona;74899-72-2
00515;alfainterferona 2a;76543-88-9
00516;alfainterferona 2b;99210-65-8
11253;alfalactose monoidratada;5989-81-1
00517;alfalutropina;152923-57-4
00518;alfameprodina;468-51-9
10680;alfamesilato de di-hidroergocriptina;14271-05-7
00519;alfametadol;17199-54-1
00520;alfametilfentanila;79704-88-4
00522;alfamoroctocogue;154343-54-9
00523;alfanonacogue;113478-33-4
00524;alfaoctocogue;139076-62-3
00525;alfapeginterferona 2a;198153-51-4
00526;alfapeginterferona 2b;215647-85-1
09356;alfapineno;80-56-8
10033;alfaporactanto;129069-19-8
00527;alfaprodina;77-20-3
00529;alfaprostol;74176-31-1
11212;alfasimoctocogue;1219013-68-9
09943;alfataliglicerase;37228-64-1
09321;alfaterpineol;98-55-5
00530;alfatexaquina;143631-61-2
00531;alfatirotropina;194100-83-9
09945;alfaturoctocogue;1192451-26-5
00532;alfauroquinase;99821-47-3
09814;alfavelaglicerase;884604-91-5
00533;alfaxalona;23930-19-0
00534;alfentanila;71195-58-9
00536;alfetamina;4255-23-6
00538;alfimeprase;259074-76-5
00539;alfuzosina;81403-80-7
00541;algeldrato;1330-44-5
00542;algestona;595-77-7
09347;algestona acetofenida;24356-94-3
00543;algestona acetonida;4968-09-6
10631;alginato de sódio ;9005-38-3
00544;alglucerase;143003-46-7
00545;alibendol;26750-81-2
00546;alicaforseno;185229-68-9
00547;aliconazol;63824-12-4
00548;alifedrina;78756-61-3
00549;aliflurano;56689-41-9
00550;alilestrenol;432-60-0
00551;alilprodina;25384-17-2
00553;aliltioureia;109-57-9
00554;alilusem;144506-11-6
00555;alimemazina;84-96-8
00557;alinidina;33178-86-8
00558;alipamida;3184-59-6
11254;alirocumabe;1245916-14-6
00559;alisquireno;173334-57-1
00560;alitretinoína;5300-03-8
00561;alizaprida;59338-93-1
10123;Allium cepa ;[Ref. 8]
10124;Allium sativum ;[Ref. 8]
10819;Allium sativum L.;[Ref. 6]
10125;Alloxanum ;[Ref. 8]
00563;almagato;66827-12-1
00564;almagodrato;103371-30-8
00565;almasilato;71205-22-6
00566;almecilina;87-09-2
00567;almestrona;10448-96-1
00568;alminoprofeno;39718-89-3
00569;almitrina;27469-53-0
00572;almocalanto;123955-10-2
00573;almotriptana;154323-57-6
00574;almoxatona;84145-89-1
00575;alnespirona;138298-79-0
00576;alniditana;152317-89-0
00577;alobarbital;52-43-7
00578;aloclamida;5486-77-1
00580;alocupreída sódica;5965-40-2
10696;Aloe ferox Mill.;[Ref. 6]
10126;Aloe socotrina ;[Ref. 8]
09893;Aloe vera (L.) Burman f.;[Ref. 6]
10039;alogliptina;850649-61-5
00581;aloglutamol;[Ref. 4]
00582;aloína;5133-19-7
00583;alonácico;105292-70-4
00584;alonimida;2897-83-8
00585;alopurinol;315-30-0
00586;aloracetam;119610-26-3
00587;alosetrona;122852-42-0
00588;alovudina;25526-93-6
00589;aloxidona;526-35-2
00590;aloxiprina;9014-67-9
00591;aloxistatina;88321-09-9
00592;alozafona;65899-72-1
00593;alpertina;27076-46-6
00594;alpidem;82626-01-5
10860;Alpinia zerumbet (Pers.) B.L. Burtt & R.M. Sm.;[Ref. 6]
00595;alpiroprida;81982-32-3
00596;alprafenona;124316-02-5
00597;alprazolam;28981-97-7
00598;alprenolol;13655-52-2
00600;alprostadil;745-65-3
09689;alprostadil alfaciclodextrina;[Ref. 4]
00601;alrestatina;51411-04-2
00602;alsactida;34765-96-3
00603;altanserina;76330-71-7
00605;altapizona;93277-96-4
00606;alteconazol;93479-96-0
00607;alteplase;105857-23-6
00608;altiniclina;179120-92-4
00609;altizida;5588-16-9
00610;altoqualina;121029-11-6
00611;altrenogeste;850-52-2
00612;altretamina;645-05-6
00613;altumomabe;156586-92-4
10127;Alumen ;[Ref. 8]
