Código do Termo;Termo
60000520;DIÁRIA DE  APARTAMENTO LUXO DA MATERNIDADE 
60000538;DIÁRIA DE  APARTAMENTO LUXO DE PSIQUIATRIA 
60000546;DIÁRIA DE  APARTAMENTO PARA PACIENTE COM OBESIDADE MÓRBIDA 
60000554;DIÁRIA DE  APARTAMENTO SIMPLES
60000562;DIÁRIA DE  APARTAMENTO SIMPLES DA MATERNIDADE 
60000570;DIÁRIA DE  APARTAMENTO SIMPLES DE PSIQUIATRIA 
60000589;DIÁRIA DE  APARTAMENTO SUÍTE 
60000597;DIÁRIA DE  APARTAMENTO SUÍTE DA MATERNIDADE 
60000600;DIÁRIA DE  APARTAMENTO SUÍTE DE PSIQUIATRIA 
60000619;DIÁRIA DE  BERÇÁRIO NORMAL 
60000627;DIÁRIA DE  BERÇÁRIO PATOLÓGICO / PREMATURO 
60000635;DIÁRIA DE  ENFERMARIA COM ALOJAMENTO CONJUNTO COM BANHEIRO PRIVATIVO
60000643;DIÁRIA DE  ENFERMARIA COM ALOJAMENTO CONJUNTO SEM BANHEIRO PRIVATIVO
60000651;DIÁRIA DE  APARTAMENTO STANDARD
60000660;DIÁRIA DE  APARTAMENTO STANDARD DA MATERNIDADE 
60000678;DIÁRIA DE  APARTAMENTO STANDARD DE PSIQUIATRIA 
60000686;DIÁRIA DE ISOLAMENTO DE APARTAMENTO STANDARD 
60000694;DIÁRIA DE  ENFERMARIA DE 3 LEITOS COM BANHEIRO PRIVATIVO
60000708;DIÁRIA DE  ENFERMARIA DE 3 LEITOS DA MATERNIDADE COM BANHEIRO PRIVATIVO
60000716;DIÁRIA DE  ENFERMARIA DE 3 LEITOS DA MATERNIDADE SEM BANHEIRO PRIVATIVO
60000724;DIÁRIA DE  ENFERMARIA DE 3 LEITOS SEM BANHEIRO PRIVATIVO
60000732;DIÁRIA DE  ENFERMARIA DE 4 OU MAIS LEITOS COM BANHEIRO PRIVATIVO
60000740;DIÁRIA DE  ENFERMARIA DE 4 OU MAIS LEITOS DA MATERNIDADE COM BANHEIRO PRIVATIVO
60000759;DIÁRIA DE  ENFERMARIA DE 4 OU MAIS LEITOS DA MATERNIDADE SEM BANHEIRO PRIVATIVO
60000767;DIÁRIA DE  ENFERMARIA DE 4 OU MAIS LEITOS SEM BANHEIRO PRIVATIVO
60000775;DIÁRIA DE  HOSPITAL DIA APARTAMENTO 
60000783;DIÁRIA DE  HOSPITAL DIA ENFERMARIA 
60000791;DIÁRIA DE  HOSPITAL DIA PSIQUIATRIA 
60000805;DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS COM BANHEIRO PRIVATIVO
60000813;DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS DA MATERNIDADE COM BANHEIRO PRIVATIVO
60000821;DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS DA MATERNIDADE SEM BANHEIRO PRIVATIVO
60000830;DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS SEM BANHEIRO PRIVATIVO
60000848;DIÁRIA DE  QUARTO COM ALOJAMENTO CONJUNTO COM BANHEIRO PRIVATIVO
60000856;DIÁRIA DE  QUARTO COM ALOJAMENTO CONJUNTO SEM BANHEIRO PRIVATIVO
60000864;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR COM BANHEIRO PRIVATIVO
60000872;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR DA MATERNIDADE COM BANHEIRO PRIVATIVO
60000880;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR DA MATERNIDADE SEM BANHEIRO PRIVATIVO
60000899;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR DE PSIQUIATRIA COM BANHEIRO PRIVATIVO
60000902;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR DE PSIQUIATRIA SEM BANHEIRO PRIVATIVO
60000910;DIÁRIA DE  QUARTO PRIVATIVO / PARTICULAR SEM BANHEIRO PRIVATIVO
60000929;DIÁRIA DE  SEMI-UTI ADULTO GERAL 
60000937;DIÁRIA DE  SEMI-UTI CORONARIANA 
60000945;DIÁRIA DE  SEMI-UTI INFANTIL/PEDIÁTRICA 
60000953;DIÁRIA DE  SEMI-UTI NEONATAL 
60000961;DIÁRIA DE  SEMI-UTI NEUROLÓGICA 
60000970;DIÁRIA DE  SEMI-UTI QUEIMADOS 
60000988;DIÁRIA DE  UNIDADE DE TRANSPLANTE DE MEDULA ÓSSEA 
60000996;DIÁRIA DE  UNIDADE DE TRANSPLANTE EM GERAL 
60001003;DIÁRIA DE  UNIDADE INTERMEDIÁRIA DE PSIQUIATRIA 
60001011;DIÁRIA DE  UNIDADE INTERMEDIÁRIA GERAL 
60001020;DIÁRIA DE  UNIDADE PARA TRATAMENTO RADIOATIVO 
60001038;DIÁRIA DE  UTI ADULTO GERAL 
60001046;DIÁRIA DE  UTI CORONARIANA 
60001054;DIÁRIA DE  UTI INFANTIL/PEDIÁTRICA 
60001062;DIÁRIA DE  UTI NEONATAL 
60001070;DIÁRIA DE  UTI NEUROLÓGICA 
60001089;DIÁRIA DE  UTI QUEIMADOS 
60001097;DIÁRIA DE ISOLAMENTO DE APARTAMENTO LUXO 
60001100;DIÁRIA DE ISOLAMENTO DE APARTAMENTO LUXO DA MATERNIDADE 
60001119;DIÁRIA DE ISOLAMENTO DE APARTAMENTO LUXO DE PSIQUIATRIA 
60001127;DIÁRIA DE ISOLAMENTO DE APARTAMENTO PARA PACIENTE COM OBESIDADE MÓRBIDA 
60001135;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SIMPLES
60001143;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SIMPLES DA MATERNIDADE 
60001151;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SIMPLES DE PSIQUIATRIA 
60001160;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SUÍTE 
60001178;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SUÍTE DA MATERNIDADE 
60001186;DIÁRIA DE ISOLAMENTO DE APARTAMENTO SUÍTE DE PSIQUIATRIA 
60001194;DIÁRIA DE ISOLAMENTO DE BERÇÁRIO NORMAL 
60001208;DIÁRIA DE ISOLAMENTO DE BERÇÁRIO PATOLÓGICO / PREMATURO 
60001216;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR COM BANHEIRO PRIVATIVO
60001224;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR DA MATERNIDADE COM BANHEIRO PRIVATIVO
60001232;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR DA MATERNIDADE SEM BANHEIRO PRIVATIVO
60001240;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR DE PSIQUIATRIA COM BANHEIRO PRIVATIVO
60001259;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR DE PSIQUIATRIA SEM BANHEIRO PRIVATIVO
60001267;DIÁRIA DE ISOLAMENTO DE QUARTO PRIVATIVO / PARTICULAR SEM BANHEIRO PRIVATIVO
60001275;DIÁRIA DE ISOLAMENTO DE SEMI-UTI ADULTO GERAL 
60001283;DIÁRIA DE ISOLAMENTO DE SEMI-UTI CORONARIANA 
60001291;DIÁRIA DE ISOLAMENTO DE SEMI-UTI INFANTIL/PEDIÁTRICA 
60001305;DIÁRIA DE ISOLAMENTO DE SEMI-UTI NEONATAL 
60001313;DIÁRIA DE ISOLAMENTO DE SEMI-UTI NEUROLÓGICA 
60001321;DIÁRIA DE ISOLAMENTO DE SEMI-UTI QUEIMADOS 
60001330;DIÁRIA DE ISOLAMENTO DE UTI ADULTO GERAL 
60001348;DIÁRIA DE ISOLAMENTO DE UTI CORONARIANA 
60001356;DIÁRIA DE ISOLAMENTO DE UTI INFANTIL/PEDIÁTRICA 
60001364;DIÁRIA DE ISOLAMENTO DE UTI NEONATAL 
60001372;DIÁRIA DE ISOLAMENTO DE UTI NEUROLÓGICA 
60001380;DIÁRIA DE ISOLAMENTO DE UTI QUEIMADOS 
60001399;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001402;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001410;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001429;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001437;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001445;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001453;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001461;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001470;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001488;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001496;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001500;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001518;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001526;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001534;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001542;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 15 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001550;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001569;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001577;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001585;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001593;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001607;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001615;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001623;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 18 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001631;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001640;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001658;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001666;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001674;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001682;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001690;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001704;AR COMPRIMIDO COM OXIGÊNIO NO RESPIRADOR/VENTILADOR, VAZÃO DE 9 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001712;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001720;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001739;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001747;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001755;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001763;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001771;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001780;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001798;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001801;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001810;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001828;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001836;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001844;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001852;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001860;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 10 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001879;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001887;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001895;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001909;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001917;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001925;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001933;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60001941;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 11 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60001950;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60001968;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60001976;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60001984;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60001992;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60002000;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60002018;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60002026;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 12 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60002034;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60002042;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60002050;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60002069;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60002077;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60002085;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60002093;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60002107;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 13 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60002115;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60002123;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60002131;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60002140;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60002158;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60002166;AR COMPRIMIDO NO RESPIRADOR/VENTILADOR, VAZÃO DE 14 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
