Código;Descricao;;;;;;
90295943;CLORIDRATO DE FLUOXETINA;;;;;;
90295951;CLORIDRATO DE FLUOXETINA;;;;;;
90295960;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90295978;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90295986;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90295994;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90296001;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90296010;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90296028;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90296036;PIPERACILINA SÓDICA + TAZOBACTAM SÓDICO;;;;;;
90296044;CLORIDRATO DE FLUOXETINA;;;;;;
90296052;LOSARTANA POTASSICA;;;;;;
90296060;LOSARTANA POTASSICA;;;;;;
90296079;LOSARTANA POTASSICA;;;;;;
90296087;LOSARTANA POTASSICA;;;;;;
90296095;LOSARTANA POTASSICA;;;;;;
90296109;LOSARTANA POTASSICA;;;;;;
90296117;LOSARTANA POTASSICA;;;;;;
90296125;LOSARTANA POTASSICA;;;;;;
90296133;LOSARTANA POTASSICA;;;;;;
90296141;LOSARTANA POTASSICA;;;;;;
90296150;LOSARTANA POTASSICA;;;;;;
90296168;LOSARTANA POTASSICA;;;;;;
90296176;MEROPENEM;;;;;;
90296184;MEROPENEM;;;;;;
90296192;MEROPENEM;;;;;;
90296206;MEROPENEM;;;;;;
90296214;MEROPENEM;;;;;;
90296222;MEROPENEM;;;;;;
90296230;MEROPENEM;;;;;;
90296249;MEROPENEM;;;;;;
90296257;MEROPENEM;;;;;;
90332180;MIRTAZAPINA;;;;;;
90332199;MIRTAZAPINA;;;;;;
90332202;MIRTAZAPINA;;;;;;
90332210;BISSULFATO DE CLOPIDOGREL;;;;;;
90332229;BISSULFATO DE CLOPIDOGREL;;;;;;
90332237;BISSULFATO DE CLOPIDOGREL;;;;;;
90332245;BISSULFATO DE CLOPIDOGREL;;;;;;
90332253;BISSULFATO DE CLOPIDOGREL;;;;;;
90332261;BISSULFATO DE CLOPIDOGREL;;;;;;
90332270;BISSULFATO DE CLOPIDOGREL;;;;;;
90332288;BISSULFATO DE CLOPIDOGREL;;;;;;
90332296;BISSULFATO DE CLOPIDOGREL;;;;;;
90332300;BISSULFATO DE CLOPIDOGREL;;;;;;
90332318;BISSULFATO DE CLOPIDOGREL;;;;;;
90332326;CLORIDRATO DE SERTRALINA;;;;;;
90332334;CLORIDRATO DE SERTRALINA;;;;;;
90346505;BROMIDRATO DE CITALOPRAM;;;;;;
90346513;AMOXICILINA;;;;;;
90346521;AXETILCEFUROXIMA;;;;;;
90346530;CLORIDRATO DE CEFEPIMA;;;;;;
90346548;CLORIDRATO DE CEFEPIMA;;;;;;
90346556;CLORIDRATO DE CEFEPIMA;;;;;;
90346564;OLANZAPINA;;;;;;
90346572;OLANZAPINA;;;;;;
90346580;OLANZAPINA;;;;;;
90346599;OLANZAPINA;;;;;;
90346602;OLANZAPINA;;;;;;
90346610;OLANZAPINA;;;;;;
90346629;OLANZAPINA;;;;;;
90346637;OLANZAPINA;;;;;;
90346645;OLANZAPINA;;;;;;
90346653;OLANZAPINA;;;;;;
90346661;OLANZAPINA;;;;;;
90346670;OLANZAPINA;;;;;;
90346688;OLANZAPINA;;;;;;
90346696;OLANZAPINA;;;;;;
90346700;OLANZAPINA;;;;;;
90346718;OLANZAPINA;;;;;;
90346726;OLANZAPINA;;;;;;
90346734;OLANZAPINA;;;;;;
90346742;ROSUVASTATINA CALCICA;;;;;;
90346750;ROSUVASTATINA CALCICA;;;;;;
90346769;ROSUVASTATINA CALCICA;;;;;;
90346777;ROSUVASTATINA CALCICA;;;;;;
90346785;ROSUVASTATINA CALCICA;;;;;;
90346793;ROSUVASTATINA CALCICA;;;;;;
90346807;ROSUVASTATINA CALCICA;;;;;;
90346815;ROSUVASTATINA CALCICA;;;;;;
90346823;ROSUVASTATINA CALCICA;;;;;;
90346831;ROSUVASTATINA CALCICA;;;;;;
90346840;ROSUVASTATINA CALCICA;;;;;;
90346858;ROSUVASTATINA CALCICA;;;;;;
90000021;ACTOS;;;;;;
90000030;ACTOS;;;;;;
90000048;ACTOS;;;;;;
90000145;BLOPRESS;;;;;;
90000153;BLOPRESS;;;;;;
90000226;CALCIJEX;;;;;;
90000323;DEPAKENE;;;;;;
90000331;DEPAKENE;;;;;;
90000358;DEPAKENE;;;;;;
90000340;DEPAKENE;;;;;;
90216105;DEPAKENE;;;;;;
90000366;DEPAKOTE;;;;;;
90000382;DEPAKOTE;;;;;;
90000463;DEPAKOTE SPRINKLE;;;;;;
90000455;DEPAKOTE SPRINKLE;;;;;;
90216113;DEPAKOTE SPRINKLE;;;;;;
90000471;DILACORON;;;;;;
90000498;DILACORON;;;;;;
90000510;FORANE;;;;;;
90000544;GYNO IRUXOL;;;;;;
90000587;HYTRIN;;;;;;
90000730;IRUXOL;;;;;;
90000641;IRUXOL;;;;;;
90000650;IRUXOL;;;;;;
90000676;IRUXOL;;;;;;
90000633;IRUXOL;;;;;;
90000668;IRUXOL;;;;;;
90000811;KLARICID;;;;;;
90000790;KLARICID;;;;;;
90000803;KLARICID;;;;;;
90000820;KLARICID UD;;;;;;
90000838;KLARICID UD;;;;;;
90000846;LUPRON;;;;;;
90000919;NIAR;;;;;;
90000927;NIAR;;;;;;
90000935;NOCTAL;;;;;;
90000951;NORVIR;;;;;;
90000978;PEDIALYTE;;;;;;
90000986;PEDIALYTE;;;;;;
90000994;PEDIALYTE;;;;;;
90001001;PEDIALYTE;;;;;;
90001010;PEDIALYTE;;;;;;
90001028;PEDIALYTE;;;;;;
90001206;SYNTHROID;;;;;;
90001214;SYNTHROID;;;;;;
90001222;SYNTHROID;;;;;;
90001249;SYNTHROID;;;;;;
90001257;SYNTHROID;;;;;;
90001265;SYNTHROID;;;;;;
90001273;SYNTHROID;;;;;;
90001281;SYNTHROID;;;;;;
90001290;SYNTHROID;;;;;;
90001303;SYNTHROID;;;;;;
90001230;SYNTHROID;;;;;;
90000552;HUMIRA;;;;;;
90296265;HUMIRA;;;;;;
90262620;DALSY;;;;;;
90262689;DALSY;;;;;;
90262638;DALSY;;;;;;
90262611;DALSY;;;;;;
90262654;DALSY;;;;;;
90262700;DALSY;;;;;;
90001079;RITMONORM;;;;;;
90001052;RITMONORM;;;;;;
90001087;RITMONORM;;;;;;
90001320;TEOLONG;;;;;;
90001338;TEOLONG;;;;;;
90000420;DEPAKOTE ER;;;;;;
90000447;DEPAKOTE ER;;;;;;
90000404;DEPAKOTE ER;;;;;;
90000412;DEPAKOTE ER;;;;;;
90000315;DEPACON;;;;;;
90001354;TROMBOFOB;;;;;;
90001362;TROMBOFOB GEL;;;;;;
90000706;IRUXOL MONO;;;;;;
90000714;IRUXOL MONO;;;;;;
90000722;IRUXOL MONO;;;;;;
90262816;PEDIALYTE 45 ZINCO;;;;;;
90262824;PEDIALYTE 45 ZINCO;;;;;;
90262832;PEDIALYTE 45 ZINCO;;;;;;
90262794;PEDIALYTE 60 ZINCO;;;;;;
90262808;PEDIALYTE 60 ZINCO;;;;;;
90262778;VACINA INFLUENZA (INATIVADA; SUBUNITÁRIA);;;;;
90262786;VACINA INFLUENZA (INATIVADA; SUBUNITÁRIA);;;;;
90262760;VACINA INFLUENZA (INATIVADA; SUBUNITÁRIA);;;;;
90290526;CREON;;;;;;
90290534;CREON;;;;;;
90293061;LUVOX;;;;;;
90293070;LUVOX;;;;;;
90293096;LUVOX;;;;;;
90293100;LUVOX;;;;;;
90293088;LUVOX;;;;;;
90296273;DUSPATALIN;;;;;;
90296281;DUSPATALIN;;;;;;
90296290;DUPHALAC;;;;;;
90296311;CREON;;;;;;
90296320;LIPIDIL;;;;;;
90296338;LIPIDIL;;;;;;
90296346;FEMOSTON;;;;;;
90296354;FEMOSTON;;;;;;
90296362;BETASERC;;;;;;
90296370;BETASERC;;;;;;
90296389;BETASERC;;;;;;
90296397;REVECTINA;;;;;;
90296400;REVECTINA;;;;;;
90296419;COBAVITAL;;;;;;
90296427;COBAVITAL;;;;;;
90296435;DUPHASTON;;;;;;
90296443;DUPHASTON;;;;;;
90296451;DICETEL;;;;;;
90296460;DICETEL;;;;;;
90296478;BURINAX;;;;;;
90296486;VIBRAL;;;;;;
90296494;VIBRAL;;;;;;
90296508;VIBRAL;;;;;;
90296516;CREON;;;;;;
90296524;VACINA INFLUENZA (INATIVADA; SUBUNITÁRIA);;;;;
90296532;VACINA INFLUENZA (INATIVADA; SUBUNITÁRIA);;;;;
90332342;DUSPATALIN;;;;;;
90346866;DICETEL;;;;;;
90346874;DICETEL;;;;;;
90346882;DICETEL;;;;;;
90346890;DICETEL;;;;;;
90346904;DUPHALAC;;;;;;
90346912;CLORIDRATO DE PROPAFENONA;;;;;;
90346920;CLORIDRATO DE PROPAFENONA;;;;;;
90346939;BROMETO DE PINAVÉRIO;;;;;;
90346947;BROMETO DE PINAVÉRIO;;;;;;
90346955;BROMETO DE PINAVÉRIO;;;;;;
90365860;LUVOX;;;;;;
90363019;DEPAKOTE ER;;;;;;
90363027;DEPAKOTE ER;;;;;;
90278208;ABCALCIUM B 12;;;;;;
90150325;ABCLER;;;;;;
90150333;ABCLER;;;;;;
90278160;EXPECTOVIC;;;;;;
90278178;EXPECTOVIC;;;;;;
90278097;RESFENAX GRIPE;;;;;;
90278119;RESFENAX GRIPE;;;;;;
90150562;APEVINAT BC;;;;;;
90278216;VITAXON C;;;;;;
90150660;SILUSGEL;;;;;;
90278232;FORTEVIT;;;;;;
90216121;OSTEOPREVIX D;;;;;;
90216130;ABCLER;;;;;;
90278127;RESFENAX GRIPE;;;;;;
90278240;CETOP;;;;;;
90296540;RESFENAX GRIPE;;;;;;
90372093;CEFALIV;;;;;;
90371712;ISKETAM;;;;;;
90359810;MENOPAX;;;;;;
90360478;FLOGORAL;;;;;;
90346963;SANY D;;;;;;
90346971;PANT;;;;;;
90346980;PANT;;;;;;
90005724;TRACLEER;;;;;;
90005732;TRACLEER;;;;;;
90005740;ZAVESCA;;;;;;
90216776;BOSENTANA;;;;;;
90216784;BOSENTANA;;;;;;
90365763;OPSUMIT;;;;;;
90297296;ACETATO DE PREDNISOLONA;;;;;;
90297300;ANESTALCON;;;;;;
90297318;AZOPT;;;;;;
90297342;CERUMIN;;;;;;
90297350;CILODEX;;;;;;
90297369;CILODEX;;;;;;
90297377;CILOXAN;;;;;;
90297385;CILOXAN;;;;;;
90297393;CILOXAN;;;;;;
90297415;CLARIL;;;;;;
90297423;CLAROFT;;;;;;
90297431;FLORATE;;;;;;
90297440;GLAUTIMOL;;;;;;
90297458;LACRIMA PLUS;;;;;;
90297466;MALEATO DE TIMOLOL;;;;;;
90297474;MAXIDEX;;;;;;
90297482;MAXIDEX;;;;;;
90297490;MAXITROL;;;;;;
90297504;MAXITROL;;;;;;
90297512;MYDRIACYL;;;;;;
90297520;PATANOL;;;;;;
90297547;TOBRADEX;;;;;;
90297555;TOBRADEX;;;;;;
90297563;TOBRAMICINA + DEXAMETASONA;;;;;;
90297571;TOBREX;;;;;;
90297580;TOBREX;;;;;;
90297598;TRAVATAN;;;;;;
90297601;TRISORB;;;;;;
90297610;VIGAMOX;;;;;;
90297628;PATANOL S;;;;;;
90297636;DUO-TRAVATAN;;;;;;
90297644;VIGADEXA;;;;;;
90297652;NEVANAC;;;;;;
90297660;AZORGA;;;;;;
90297679;DUO-TRAVATAN;;;;;;
90297687;TRAVATAN;;;;;;
90006224;ACULAR;;;;;;
90006267;ALPHAGAN;;;;;;
90006275;ALPHAGAN;;;;;;
90006283;ALPHAGAN P;;;;;;
90006313;ANESTÉSICO OCULUM;;;;;;
90006321;ARGIROL OCULUM;;;;;;
90006330;ATROPINA;;;;;;
90006348;ATROPINA;;;;;;
90006356;BETAGAN;;;;;;
90006364;BETAGAN;;;;;;
90006372;BIAMOTIL;;;;;;
90006380;BIAMOTIL;;;;;;
90006399;BIAMOTIL-D;;;;;;
90006402;BIAMOTIL-D;;;;;;
90006410;BOTOX;;;;;;
90006429;BOTOX;;;;;;
90006445;CICLOPLÉGICO;;;;;;
90006453;CLARVISOL;;;;;;
90006461;CLORANFENICOL;;;;;;
90006496;CROMOLERG OCULUM;;;;;;
90006500;CROMOLERG OCULUM;;;;;;
90006526;DEXAFENICOL;;;;;;
90006550;DINILL;;;;;;
90006569;EPITEZAN;;;;;;
90006577;FENIDEX;;;;;;
90006585;COLÍRIO FENILEFRINA 10% OCULUM;;;;;;
90006593;FILMCEL;;;;;;
90006607;FLUMEX;;;;;;
90006666;FRESH TEARS;;;;;;
90006640;FRESH TEARS LIQUIGEL;;;;;;
90006658;FRESH TEARS;;;;;;
90006674;FRESH TEARS;;;;;;
90006712;GENTAMICINA;;;;;;
90006720;GENTAMICINA;;;;;;
90006739;LACRIL;;;;;;
90006780;LUMIGAN;;;;;;
90006798;LUMIGAN;;;;;;
90006836;MALEATO DE TIMOLOL;;;;;;
90006844;MALEATO DE TIMOLOL;;;;;;
90006852;MALEATO DE TIMOLOL;;;;;;
90006860;MIRABEL;;;;;;
90006887;OCUFEN;;;;;;
90006895;OFLOX;;;;;;
90006917;PILOCARPINA;;;;;;
90006925;PILOCARPINA;;;;;;
90006933;PILOCARPINA;;;;;;
90006941;POLIPRED;;;;;;
90006968;PRED MILD;;;;;;
90006976;PRED MILD;;;;;;
90006950;PRED-FORT;;;;;;
90006984;REFRESH GEL;;;;;;
90007026;RESTASIS;;;;;;
90007042;STILL;;;;;;
90007050;STILL;;;;;;
90007069;TOBRAGAN;;;;;;
90007085;VISONEST;;;;;;
90371887;ZINCOLOK;;;;;;
90007107;ZYMAR;;;;;;
90006259;ACULAR LS;;;;;;
90006240;ACULAR LS;;;;;;
90006690;GANFORT;;;;;;
90006704;GANFORT;;;;;;
90006305;ALPHAGAN Z;;;;;;
90006801;LUMIGAN RC;;;;;;
90006810;LUMIGAN RC;;;;;;
90006909;OZURDEX;;;;;;
90006747;LATISSE;;;;;;
90216792;ZYMAR XD;;;;;;
90216806;ZYMAR XD;;;;;;
90216814;ACULAR CMC;;;;;;
90216822;ACULAR CMC;;;;;;
90216830;ACULAR CMC;;;;;;
90216849;ACULAR CMC;;;;;;
90216857;LASTACAFT;;;;;;
90254392;BOTOX;;;;;;
90297709;REFRESH ADVANCED;;;;;;
90297717;REFRESH ADVANCED;;;;;;
90346998;ALPHAGAN Z;;;;;;
90173805;AD-TIL;;;;;;
90173813;ALBOCRESIL;;;;;;
90173830;ALBOCRESIL;;;;;;
90173821;ALBOCRESIL;;;;;;
90173902;BRONCHO-VAXOM;;;;;;
90173910;BRONCHO-VAXOM;;;;;;
90173929;BRONCHO-VAXOM;;;;;;
90173899;BRONCHO-VAXOM;;;;;;
90173880;BRONCHO-VAXOM;;;;;;
90174054;DRAMIN;;;;;;
90173970;DRAMIN;;;;;;
90173961;DRAMIN;;;;;;
90174011;DRAMIN B6;;;;;;
90173996;DRAMIN B6;;;;;;
90370783;DRAMIN B6;;;;;;
90174038;DRAMIN B6;;;;;;
90173988;DRAMIN B6;;;;;;
90174046;DRAMIN B6 DL;;;;;;
90174100;HIDRAFIX;;;;;;
90174119;HIDRAFIX;;;;;;
90174127;HIDRAFIX;;;;;;
90174097;HIDRAFIX;;;;;;
90174062;HIDRAFIX;;;;;;
90174070;HIDRAFIX;;;;;;
90174160;MESACOL;;;;;;
90174178;MESACOL;;;;;;
90174186;MESACOL;;;;;;
90174208;MESACOL;;;;;;
90174194;MESACOL;;;;;;
90265327;MUCOLITIC;;;;;;
90265335;MUCOLITIC;;;;;;
90265351;MUCOLITIC;;;;;;
90265343;MUCOLITIC;;;;;;
90174259;NENE DENT N GEL;;;;;;
90174267;NENE DENT N GEL;;;;;;
90174291;NORIPURUM;;;;;;
90174275;NORIPURUM FÓLICO;;;;;;
90174348;NORIPURUM IM;;;;;;
90174330;NORIPURUM EV;;;;;;
90174321;NORIPURUM XAROPE;;;;;;
90174305;NORIPURUM;;;;;;
90174364;NORIPURUM SOLUÇÃO ORAL;;;;;;
90174437;PANTOZOL;;;;;;
90174453;PANTOZOL;;;;;;
90174470;PANTOZOL;;;;;;
90174496;PANTOZOL;;;;;;
90174518;PANTOZOL;;;;;;
90174534;PANTOZOL;;;;;;
90174569;PANTOZOL;;;;;;
90174429;PANTOZOL;;;;;;
90174488;PANTOZOL;;;;;;
90174461;PANTOZOL;;;;;;
90174526;PANTOZOL;;;;;;
90174500;PANTOZOL;;;;;;
90174445;PANTOZOL;;;;;;
90174550;PANTOZOL;;;;;;
90174542;PANTOZOL;;;;;;
90174623;PROCTYL;;;;;;
90174631;PROCTYL;;;;;;
90174607;PROCTYL;;;;;;
90174615;PROCTYL;;;;;;
90216865;PROCTYL;;;;;;
90174658;REPARIL;;;;;;
90174674;RIOPAN PLUS;;;;;;
90174682;RIOPAN PLUS;;;;;;
90174690;RIOPAN PLUS;;;;;;
90174860;VENALOT;;;;;;
90174852;VENALOT;;;;;;
90174844;VENALOT;;;;;;
90174909;XANTINON;;;;;;
90174941;XANTINON COMPLEX;;;;;;
90216873;XANTINON;;;;;;
90297741;XANTINON COMPLEX;;;;;;
90297750;XANTINON COMPLEX;;;;;;
90265386;NEOSALDINA;;;;;;
90265378;NEOSALDINA;;;;;;
90265394;NEOSALDINA;;;;;;
90174666;REPARIL;;;;;;
90173848;ALVESCO;;;;;;
90173864;ALVESCO;;;;;;
90174283;NORIPURUM FÓLICO;;;;;;
90174747;TACHOSIL;;;;;;
90174879;VENALOT H;;;;;;
90174887;VENALOT H;;;;;;
90174372;OMNARIS;;;;;;
90174739;SIILIF;;;;;;
90174704;SIILIF;;;;;;
90174712;SIILIF;;;;;;
90174720;SIILIF;;;;;;
90174216;MESACOL MMX;;;;;;
90174224;MESACOL MMX;;;;;;
90174771;TECTA;;;;;;
90174828;TECTA;;;;;;
90174755;TECTA;;;;;;
90174801;TECTA;;;;;;
90174780;TECTA;;;;;;
90174798;TECTA;;;;;;
90174810;TECTA;;;;;;
90174763;TECTA;;;;;;
90265424;DAXAS;;;;;;
90216881;DRAMIN CAPSGEL;;;;;;
90216890;DRAMIN CAPSGEL;;;;;;
90216903;ALEKTOS;;;;;;
90216911;ALEKTOS;;;;;;
90216920;ALEKTOS;;;;;;
90216938;ALEKTOS;;;;;;
90216946;ALEKTOS;;;;;;
90216954;ALEKTOS;;;;;;
90216962;DRAMIN;;;;;;
90216970;DRAMIN;;;;;;
90216989;DRAMIN;;;;;;
90216997;AD-TIL;;;;;;
90217004;VENALOT H;;;;;;
90217012;DERMODEX;;;;;;
90265432;DEXILANT;;;;;;
90265440;DEXILANT;;;;;;
90265459;DEXILANT;;;;;;
90265467;DEXILANT;;;;;;
90265475;DEXILANT;;;;;;
90265483;DEXILANT;;;;;;
90265491;DEXILANT;;;;;;
90265505;DEXILANT;;;;;;
90265319;NORIPURUM FÓLICO;;;;;;
90265300;NORIPURUM;;;;;;
90265556;FERINJECT;;;;;;
90265521;FERINJECT;;;;;;
90265548;FERINJECT;;;;;;
90265513;FERINJECT;;;;;;
90265564;FERINJECT;;;;;;
90265530;FERINJECT;;;;;;
90265416;NEOSALDINA;;;;;;
90265408;NEOSALDINA;;;;;;
90265572;MICOSTATIN;;;;;;
90286812;NEOSALDINA;;;;;;
90286820;NEOSALDINA;;;;;;
90286839;NEOSALDINA;;;;;;
90286804;NEOSALDINA;;;;;;
90290666;DERMODEX;;;;;;
90290674;DERMODEX;;;;;;
90293053;LUFTAL GEL CAPS;;;;;;
90297768;NESINA;;;;;;
90297776;NESINA;;;;;;
90297784;NESINA;;;;;;
90297792;NESINA;;;;;;
90297806;NESINA;;;;;;
90297814;NESINA;;;;;;
90297822;NESINA;;;;;;
90297830;NESINA;;;;;;
90297849;NESINA;;;;;;
90297857;DRAMIN CAPSGEL;;;;;;
90297865;EDARBI;;;;;;
90297873;EDARBI;;;;;;
90297881;EDARBI;;;;;;
90297890;EDARBI;;;;;;
90297903;EDARBI;;;;;;
90297911;EDARBI;;;;;;
90297920;EDARBICLOR;;;;;;
90297938;EDARBICLOR;;;;;;
90297946;EDARBICLOR;;;;;;
90297954;EDARBICLOR;;;;;;
90297962;EDARBICLOR;;;;;;
90297970;EDARBICLOR;;;;;;
90297989;EDARBICLOR;;;;;;
90297997;EDARBICLOR;;;;;;
90298004;EDARBICLOR;;;;;;
90298012;EDARBICLOR;;;;;;
90298020;EDARBICLOR;;;;;;
90298039;EDARBICLOR;;;;;;
90298047;ADCETRIS;;;;;;
90298055;MEPACT;;;;;;
90298063;PANTOZOL;;;;;;
90298071;NEOSALDINA;;;;;;
90298080;ENTYVIO;;;;;;
90298098;NESINA MET;;;;;;
90298101;NESINA MET;;;;;;
90298110;NESINA MET;;;;;;
90298128;NESINA MET;;;;;;
90298136;NESINA MET;;;;;;
90298144;NESINA MET;;;;;;
90298152;NESINA MET;;;;;;
90298160;NESINA MET;;;;;;
90298179;NESINA MET;;;;;;
90298187;NESINA MET;;;;;;
90298195;NESINA MET;;;;;;
90298209;NESINA MET;;;;;;
90298217;NESINA MET;;;;;;
90298225;NESINA MET;;;;;;
90298233;NESINA MET;;;;;;
90298241;NESINA MET;;;;;;
90298250;NESINA MET;;;;;;
90298268;NESINA MET;;;;;;
90298276;NESINA MET;;;;;;
90298284;NESINA MET;;;;;;
90298292;NESINA MET;;;;;;
90347005;NESINA PIO;;;;;;
90347013;NESINA PIO;;;;;;
90347021;NESINA PIO;;;;;;
90347030;NESINA PIO;;;;;;
90347048;NESINA PIO;;;;;;
90347056;NESINA PIO;;;;;;
90347064;NESINA PIO;;;;;;
90347072;NESINA PIO;;;;;;
90347080;NESINA PIO;;;;;;
90347099;NESINA PIO;;;;;;
90347102;NESINA PIO;;;;;;
90347110;NESINA PIO;;;;;;
90347129;DRAMIN B6;;;;;;
90368746;DAXAS;;;;;;
90369980;OMCILON A;;;;;;
90368924;LUFTAL GEL CAPS;;;;;;
90008219;DOBUTREX;;;;;;
90008332;KEFAZOL;;;;;;
90008375;KEFLIN NEUTRO;;;;;;
90008413;KEFORAL;;;;;;
90008391;KEFORAL;;;;;;
90008782;TOBRAMINA;;;;;;
90008790;VANCOCINA CP;;;;;;
90008804;VANCOCINA CP;;;;;;
90008820;VANCOCINA CP;;;;;;
90008480;KEFTRON;;;;;;
90008294;KEFADIM;;;;;;
90008430;KEFOX;;;;;;
90008081;CLORIDRATO DE CEFEPIMA;;;;;;
90008090;CLORIDRATO DE CEFEPIMA;;;;;;
90008103;CLORIDRATO DE CEFEPIMA;;;;;;
90008111;CLORIDRATO DE CEFEPIMA;;;;;;
90008138;CLORIDRATO DE CEFEPIMA;;;;;;
90008146;CLORIDRATO DE CEFEPIMA;;;;;;
90008162;CLORIDRATO DE CEFEPIMA;;;;;;
90008170;CLORIDRATO DE CEFEPIMA;;;;;;
90008243;IMIPENEM + CILASTATINA SÓDICA;;;;;;
90008251;IMIPENEM + CILASTATINA SÓDICA;;;;;;
90008260;IMIPENEM + CILASTATINA SÓDICA;;;;;;
90008502;KEROXIME;;;;;;
90008529;KEROXIME;;;;;;
90007131;ÁGUA PARA INJEÇÃO;;;;;;
90008600;MEROPENEM;;;;;;
90008596;MEROPENEM;;;;;;
90008588;MEROPENEM;;;;;;
90008634;MEROPENEM;;;;;;
90008642;MEROPENEM;;;;;;
90008650;MEROPENEM;;;;;;
90007310;CEFALEXINA;;;;;;
90282230;CEFALEXINA;;;;;;
90007360;CEFALEXINA;;;;;;
90007328;CEFALEXINA;;;;;;
90007670;CLARITROMICINA;;;;;;
90007697;CLARITROMICINA;;;;;;
90007441;CEFALOTINA SÓDICA;;;;;;
